ファイルパス,タイトル,タイトルの日本語訳
_posts/2025-12-26-5-terminal-commands-that-saved-me-hours-of-clickin.md,5 Terminal Commands That Saved Me Hours of Clicking,クリックの時間を数時間節約してくれた5つのターミナルコマンド
_posts/2025-12-26-52-years-later-only-known-copy-of-unix-v4-recovere.md,"52 years later, only known copy of Unix v4 recovered from randomly found tape,",52年後、偶然見つかったテープからUnix v4の唯一知られているコピーが復元される
_posts/2025-12-26-7-lies-developers-keep-telling-themselves-and-some.md,7 Lies Developers Keep Telling Themselves (And Somehow Still Believe),開発者が自分自身に言い聞かせ続け（そしてなぜかまだ信じている）7つの嘘
_posts/2025-12-26-ace-a-tiny-experimental-language-function-calls-as.md,ACE - a tiny experimental language (function calls as effects),ACE - 極小の実験的言語（エフェクトとしての関数呼び出し）
_posts/2025-12-26-activist-group-says-it-has-scraped-86m-music-files.md,Activist group says it has scraped 86m music files from Spotify,活動家グループ、Spotifyから8600万の音楽ファイルをスクレイピングしたと発表
_posts/2025-12-26-ai-data-centers-may-soon-be-powered-by-retired-nav.md,AI data centers may soon be powered by retired Navy nuclear reactors from aircraft,AIデータセンター、間もなく退役した海軍の空母用原子炉で稼働する可能性
_posts/2025-12-26-ai-faces-closing-time-at-the-cash-buffet.md,AI faces closing time at the cash buffet,AI、現金バッフェの閉店時間に直面
_posts/2025-12-26-all-brakes-are-off-russias-attempt-to-rein-in-illi.md,‘All brakes are off’: Russia’s attempt to rein in illicit market for leaked,「すべてのブレーキが外れた」：流出データの不法市場を抑制しようとするロシアの試み
_posts/2025-12-26-an-11-qubit-atom-processor-in-silicon-with-all-fid.md,An 11-qubit atom processor in silicon with all fidelities from 99.10% to 99.99%,99.10%から99.99%のフィデリティを持つシリコン内の11量子ビット原子プロセッサ
_posts/2025-12-26-ancient-greek-geometry.md,Ancient Greek geometry,古代ギリシャの幾何学
_posts/2025-12-26-animating-quines-for-larva-labs.md,Animating Quines for Larva Labs,Larva Labsのためのクワインのアニメーション化
_posts/2025-12-26-are-two-heads-better-than-one.md,Are Two Heads Better Than One?,三人寄れば文殊の知恵（二つの頭は一つより優れているか？）
_posts/2025-12-26-asus-rog-laptops-are-broken-by-design-a-forensic-d.md,ASUS ROG Laptops are Broken by Design: A Forensic Deep Dive,ASUS ROGノートパソコンは設計上壊れている：フォレンジックな深掘り
_posts/2025-12-26-automating-what-backblaze-lifecycle-rules-dont-do.md,Automating What Backblaze Lifecycle Rules Don't Do Instantly,Backblazeのライフサイクルルールが即座に行わないことの自動化
_posts/2025-12-26-beautiful-reprs.md,Beautiful reprs,美しいrepr（表現）
_posts/2025-12-26-building-an-ai-agent-inside-a-7-year-old-rails-mon.md,Building an AI agent inside a 7-year-old Rails monolith,7年前のRailsモノリス内にAIエージェントを構築する
_posts/2025-12-26-chatgpt-conversations-still-lack-timestamps-after.md,ChatGPT conversations still lack timestamps after years of requests,ChatGPTの会話には、長年の要望にもかかわらず依然としてタイムスタンプがない
_posts/2025-12-26-china-aims-for-15-gigawatts-of-solar-thermal-power.md,China Aims for 15 Gigawatts of Solar Thermal Power by 2030,中国、2030年までに15ギガワットの太陽熱発電を目指す
_posts/2025-12-26-china-debuts-worlds-first-million-ton-hydrogen-ele.md,China debuts 'world’s first' million-ton hydrogen-electric steel line,中国、「世界初」の100万トン級水素電気製鉄ラインを公開
_posts/2025-12-26-clair-obscur-expedition-33-director-guillaume-brio.md,"Clair Obscur: Expedition 33 director Guillaume Brioche admits Sandfall ""tried",Clair Obscur: Expedition 33のディレクターGuillaume Brioche氏、Sandfallが「試みた」ことを認める
_posts/2025-12-26-code-mode-doesnt-replace-mcp-heres-what-it-actuall.md,Code Mode Doesn't Replace MCP (Here's What It Actually Does),コードモードはMCPを置き換えるものではない（実際に行うことはこちら）
_posts/2025-12-26-codex-vs-claude-code-today.md,Codex vs. Claude Code (today),Codex vs. Claude Code（現在）
_posts/2025-12-26-congrats-to-the-winners-of-the-ai-challenge-for-cr.md,Congrats to the Winners of the AI Challenge for Cross-Platform Apps!,クロスプラットフォームアプリ向けAIチャレンジの勝者の皆さん、おめでとうございます！
_posts/2025-12-26-cuda-tile-open-sourced.md,CUDA Tile Open Sourced,CUDA Tileがオープンソース化
_posts/2025-12-26-data-centres-the-new-tech-stopping-chips-from-over.md,Data centres: The new tech stopping chips from overheating,データセンター：チップの過熱を防ぐ新技術
_posts/2025-12-26-dating-in-the-age-of-the-algorithm-dating-apps-hav.md,Dating in the Age of the Algorithm : Dating apps have transformed intimacy,アルゴリズム時代のデート：デートアプリが親密さを変えた
_posts/2025-12-26-dell-top-sales-exec-doubles-down-on-40-hour-rto-fo.md,"Dell top sales exec doubles down on 40-hour RTO for sales team after ""end-of-day",Dellの営業トップ、営業チームへの週40時間出社（RTO）を再確認
_posts/2025-12-26-developed-using-reactvite.md,Developed using react+vite,react+viteを使用して開発
_posts/2025-12-26-dji-drone-ban-has-started-in-the-us-but-it-wont-ha.md,"DJI drone ban has started in the US, but it won't happen overnight",米国でDJIドローン禁止が開始されたが、一晩で起こるわけではない
_posts/2025-12-26-drawing-with-zero-width-characters.md,Drawing with zero-width characters,ゼロ幅文字で描画する
_posts/2025-12-26-electronic-arts-shareholders-approve-55-billion-sa.md,Electronic Arts Shareholders Approve $55 Billion Sale to Saudis,エレクトロニック・アーツの株主、サウジアラビアへの550億ドルの売却を承認
_posts/2025-12-26-experts-explore-new-mushroom-which-causes-fairytal.md,Experts Explore New Mushroom Which Causes Fairytale-Like Hallucinations,専門家、おとぎ話のような幻覚を引き起こす新しいキノコを調査
_posts/2025-12-26-fahrplan-39c3.md,Fahrplan – 39C3,スケジュール – 39C3
_posts/2025-12-26-ffmpeg-has-issued-a-dmca-takedown-on-github.md,FFmpeg has issued a DMCA takedown on GitHub,FFmpegがGitHubでDMCA削除要請を発行
_posts/2025-12-26-free-streaming-service-tubi-is-rivaling-major-play.md,Free streaming service Tubi is rivaling major players for viewership. Here's,無料ストリーミングサービスのTubiが視聴者数で主要プレイヤーに匹敵。その理由は
_posts/2025-12-26-from-genin-to-kage-understanding-the-test-pyramid.md,From Genin to Kage - Understanding the Test Pyramid with Naruto,下忍から火影へ - NARUTOで理解するテストピラミッド
_posts/2025-12-26-from-idea-to-launch-how-developers-can-build-succe.md,From Idea to Launch: How Developers Can Build Successful Startups,アイデアからローンチまで：開発者が成功するスタートアップを構築する方法
_posts/2025-12-26-gaussian-splatting-3-ways.md,Gaussian Splatting 3 Ways,ガウシアンスプラッティングの3つの方法
_posts/2025-12-26-geometric-algorithms-for-translucency-sorting-in-m.md,Geometric Algorithms for Translucency Sorting in Minecraft [pdf],Minecraftにおける半透明ソートのための幾何学的アルゴリズム [pdf]
_posts/2025-12-26-gibberish-a-new-style-of-parser-combinator-with-ro.md,Gibberish - A new style of parser-combinator with robust error handling built,Gibberish - 堅牢なエラー処理を組み込んだ新しいスタイルのパーサーコンビネータ
_posts/2025-12-26-gleam-v114-the-happy-holidays-release-2025.md,Gleam v1.14 - the happy holidays release 2025,Gleam v1.14 - ハッピーホリデーリリース 2025
_posts/2025-12-26-global-memory-shortage-could-disrupt-smartphone-an.md,Global memory shortage could disrupt smartphone and PC markets in 2026: IDC,世界的なメモリ不足、2026年のスマートフォンおよびPC市場を混乱させる可能性：IDC
_posts/2025-12-26-gnu-mes-and-the-module-system.md,GNU Mes and the module system,GNU Mesとモジュールシステム
_posts/2025-12-26-google-is-allowing-users-to-change-their-gmail-add.md,"Google is allowing users to change their Gmail address, per official Google",Google、ユーザーがGmailアドレスを変更することを許可（公式発表）
_posts/2025-12-26-google-is-rolling-out-a-new-feature-allowing-users.md,Google is rolling out a new feature allowing users to change their Gmail address,Google、ユーザーがGmailアドレスを変更できる新機能を展開中
_posts/2025-12-26-high-school-student-discovers-15m-potential-new-as.md,High School Student Discovers 1.5M Potential New Astronomical Objects,高校生、150万個の潜在的な新しい天体を発見
_posts/2025-12-26-how-the-internet-left-4chan-behind-the-anonymous-f.md,How the Internet Left 4chan Behind | The anonymous forum thrived when edgelord,インターネットはいかにして4chanを置き去りにしたか | 匿名掲示板がエッジロード（過激派）で賑わっていた頃
_posts/2025-12-26-how-uv-got-so-fast.md,How uv got so fast,uvはいかにしてこれほど速くなったのか
_posts/2025-12-26-how-versioned-cache-keys-can-save-you-during-rolli.md,How Versioned Cache Keys Can Save You During Rolling Deployments,バージョン管理されたキャッシュキーがローリングデプロイ中にあなたを救う方法
_posts/2025-12-26-i-think-about-kubernetes.md,I Think about Kubernetes,Kubernetesについて考える
_posts/2025-12-26-joan-didion-and-kurt-vonnegut-had-something-to-say.md,Joan Didion and Kurt Vonnegut had something to say. We have it on tape,ジョーン・ディディオンとカート・ヴォネガットには言いたいことがあった。それをテープに収めている
_posts/2025-12-26-kara-swisher-were-in-an-eat-the-rich-moment.md,Kara Swisher: We're in an 'Eat the Rich' Moment,カーラ・スウィッシャー：私たちは「富裕層を食い尽くせ」という瞬間にいる
_posts/2025-12-26-leaker-who-apple-is-suing-says-screw-it-heres-the.md,"Leaker Who Apple Is Suing Says 'Screw It,' Here's the Foldable iPhone Early",Appleに訴えられているリーカーが「もういいや」と折りたたみiPhoneを早期公開
_posts/2025-12-26-learnixos.md,LearnixOS,LearnixOS
